
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-16 17:25:31 /api/system/compression-status ..................................................... ~ 510.40ms
  2026-03-16 17:25:31 /api/system/compression-status ..................................................... ~ 508.38ms
  2026-03-16 17:26:20 /api/documents/check-code .......................................................... ~ 509.40ms
  2026-03-16 17:26:20 /api/documents/check-code .......................................................... ~ 510.65ms
  2026-03-16 17:26:21 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 17:26:22 /api/documents/check-code .......................................................... ~ 502.07ms
  2026-03-16 17:26:23 /api/upload .............................................................................. ~ 1s
  2026-03-16 17:26:23 /api/upload .............................................................................. ~ 1s
  2026-03-16 17:26:26 /api/auth/me ....................................................................... ~ 510.59ms
  2026-03-16 17:26:27 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:26:28 /api/documents/qr/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ................................. ~ 516.24ms
  2026-03-16 17:26:28 /api/documents/qr/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ................................. ~ 513.53ms
  2026-03-16 17:26:30 /api/files/pdf-original/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ........................... ~ 505.50ms
  2026-03-16 17:26:30 /api/files/pdf-original/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ................................. ~ 1s
  2026-03-16 17:26:31 /api/files/qr/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ..................................... ~ 511.79ms
  2026-03-16 17:26:44 /api/embed ......................................................................... ~ 511.43ms
  2026-03-16 17:26:45 /api/embed ............................................................................... ~ 1s
  2026-03-16 17:26:46 /api/documents/qr/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ....................................... ~ 1s
  2026-03-16 17:28:34 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:28:35 /api/system/compression-status ..................................................... ~ 504.74ms
  2026-03-16 17:28:35 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:28:36 /api/auth/me ....................................................................... ~ 508.67ms
  2026-03-16 17:29:08 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:29:09 /api/system/compression-status ..................................................... ~ 512.53ms
  2026-03-16 17:29:09 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:29:10 /api/auth/me ....................................................................... ~ 507.55ms
  2026-03-16 17:29:20 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 17:29:24 /api/documents/check-code .......................................................... ~ 500.31ms
  2026-03-16 17:29:32 /api/documents/qr/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ....................................... ~ 1s
  2026-03-16 17:29:32 /api/files/pdf/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF .......................................... ~ 1s
  2026-03-16 17:29:55 /api/auth/me ....................................................................... ~ 509.47ms
  2026-03-16 17:29:56 /api/documents ..................................................................... ~ 516.01ms
  2026-03-16 17:29:56 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:29:57 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:29:57 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:29:58 /api/documents ........................................................................... ~ 1s
  2026-03-16 17:29:59 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:30:01 /api/documents/qr/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF ................................. ~ 515.71ms
  2026-03-16 17:30:01 /api/files/pdf/l44L6uPhsQMqEFtVwbkwCkFBvy1e9wEF .................................... ~ 513.41ms
  2026-03-16 17:30:05 /api/documents/qr/slk01UClaw2efNE7U3B01USChVzXhtsl ................................. ~ 504.54ms
  2026-03-16 17:30:06 /api/documents/qr/slk01UClaw2efNE7U3B01USChVzXhtsl ....................................... ~ 1s
  2026-03-16 17:30:07 /api/documents/qr/slk01UClaw2efNE7U3B01USChVzXhtsl ................................. ~ 510.25ms
  2026-03-16 17:30:07 /api/files/pdf/slk01UClaw2efNE7U3B01USChVzXhtsl .......................................... ~ 1s
  2026-03-16 17:30:08 /api/files/pdf/slk01UClaw2efNE7U3B01USChVzXhtsl .................................... ~ 507.71ms
  2026-03-16 17:30:12 /api/documents/18 .................................................................. ~ 508.09ms
  2026-03-16 17:30:13 /api/documents/18 .................................................................. ~ 507.68ms
  2026-03-16 17:30:13 /api/documents/21 ........................................................................ ~ 1s
  2026-03-16 17:30:13 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:30:14 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:30:15 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:30:16 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:30:16 /api/documents/21 ........................................................................ ~ 1s
  2026-03-16 17:30:17 /api/system/compression-status ........................................................... ~ 2s
  2026-03-16 17:30:18 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:30:19 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:30:20 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:30:20 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 17:30:21 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:30:23 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:30:23 /api/auth/me ....................................................................... ~ 516.15ms
  2026-03-16 17:33:59 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:34:00 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:34:00 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:34:01 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:34:02 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:34:04 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:34:05 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:34:06 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:35:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:35:31 /api/system/compression-status ..................................................... ~ 512.75ms
  2026-03-16 17:39:00 /api/system/compression-status ..................................................... ~ 512.73ms
  2026-03-16 17:39:01 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:40:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:40:31 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:44:00 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:44:01 /api/system/compression-status ..................................................... ~ 504.26ms
  2026-03-16 17:45:30 /api/system/compression-status ..................................................... ~ 517.24ms
  2026-03-16 17:45:31 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:49:00 /api/system/compression-status ..................................................... ~ 503.95ms
  2026-03-16 17:49:01 /api/system/compression-status ..................................................... ~ 514.70ms
  2026-03-16 17:49:40 /api/documents/check-code ............................................................ ~ 0.15ms
